PosX, PosY, PosZ, NormVecX, NormVecY, NormVecZ,Value, IsRightHand
-0.4,-0.4,-0.3,-0.937678936,-0.345366478,0.038473468,77.47277127,1
-0.4,-0.4,-0.2,-0.734340778,-0.586060429,-0.342456998,74.5216569,1
-0.4,-0.4,-0.1,-0.783928704,-0.614077485,-0.091458349,74.85934675,1
-0.4,-0.4,0,-0.774872293,-0.592823984,0.219391553,73.30877956,1
-0.4,-0.4,0.1,-0.731986209,-0.548066985,0.404745315,72.11044063,1
-0.4,-0.4,0.2,-0.669523095,-0.471462319,0.573987897,71.09741703,1
-0.4,-0.4,0.3,-0.541964949,-0.343797493,0.766861968,70.35406126,1
-0.4,-0.4,0.4,-0.5502107,-0.216051322,0.806591602,68.41534331,1
-0.4,-0.3,-0.3,-0.796247107,-0.501876964,-0.337801803,76.17466073,1
-0.4,-0.3,-0.2,-0.845979692,-0.486589751,-0.218056818,76.94854085,1
-0.4,-0.3,-0.1,-0.865435034,-0.494534305,-0.080361825,75.706214,1
-0.4,-0.3,0,-0.784872569,-0.586399046,0.200277828,75.21841356,1
-0.4,-0.3,0.1,-0.846291585,-0.320699969,0.425372876,73.51233578,1
-0.4,-0.3,0.2,-0.727182334,-0.1865508,0.660609304,71.35743065,1
-0.4,-0.3,0.3,-0.611183398,-0.222927278,0.759446037,69.71983073,1
-0.4,-0.3,0.4,-0.572892284,-0.193793192,0.796391003,68.4938205,1
-0.4,-0.2,-0.3,-0.872784242,-0.183643948,-0.452241714,76.75043155,1
-0.4,-0.2,-0.2,-0.887958179,-0.247684729,-0.38753393,77.73418103,1
-0.4,-0.2,-0.1,-0.935388058,-0.353455613,-0.010877059,77.09343692,1
-0.4,-0.2,0,-0.882600813,-0.39816578,0.249959629,76.55208572,1
-0.4,-0.2,0.1,-0.798938119,-0.36319295,0.479362871,73.64658586,1
-0.4,-0.2,0.2,-0.767029558,-0.081054897,0.636471335,72.64407013,1
-0.4,-0.2,0.3,-0.611946973,-0.269747118,0.743476559,69.52858553,1
-0.4,-0.2,0.4,-0.601500228,-0.106396756,0.791755774,68.34606026,1
-0.4,-0.1,-0.3,-0.826246238,-0.017366095,-0.563041361,78.67507798,1
-0.4,-0.1,-0.2,-0.924803336,0.072820992,-0.373411158,79.34317741,1
-0.4,-0.1,-0.1,-0.997872134,-0.048991497,0.043023694,78.57653996,1
-0.4,-0.1,0,-0.930082689,-0.148202088,0.336128446,77.190074,1
-0.4,-0.1,0.1,-0.870541114,-0.090864561,0.483633952,75.32967162,1
-0.4,-0.1,0.2,-0.828631623,0.154426802,0.538072482,72.69159218,1
-0.4,-0.1,0.3,-0.595813122,0.056334613,0.80114489,70.56759711,1
-0.4,-0.1,0.4,-0.779410368,-0.096772428,0.618994811,67.58541345,1
-0.4,0,-0.3,-0.864092209,0.221937634,-0.451761376,79.48235275,1
-0.4,0,-0.2,-0.942745175,0.243916609,-0.227455979,78.24946231,1
-0.4,0,-0.1,-0.980786903,0.153318412,0.120625516,77.26095845,1
-0.4,0,0,-0.930418629,0.111352161,0.349173124,76.7180304,1
-0.4,0,0.1,-0.84797752,0.186044566,0.496307913,75.47286849,1
-0.4,0,0.2,-0.771933515,0.356779222,0.526143739,74.1561616,1
-0.4,0,0.3,-0.543738504,0.325107356,0.773727114,71.48838682,1
-0.4,0,0.4,-0.574830102,0.398973856,0.714415996,69.58962186,1
-0.4,0.1,-0.3,-0.908034021,0.332552719,-0.254721232,76.27358609,1
-0.4,0.1,-0.2,-0.907981135,0.407822035,-0.096184442,77.15865173,1
-0.4,0.1,-0.1,-0.911528668,0.394174559,0.117225871,76.87612638,1
-0.4,0.1,0,-0.872891045,0.373706479,0.313695219,75.6418994,1
-0.4,0.1,0.1,-0.795660477,0.366151164,0.482553345,74.33725965,1
-0.4,0.1,0.2,-0.70708081,0.471387207,0.527096604,73.68014894,1
-0.4,0.1,0.3,-0.6413497,0.490719551,0.589800716,71.74270613,1
